W,R
360.65974,0.97
362.5884,0.97461
364.51706,0.97607
366.44572,0.97316
368.37439,0.97301
370.30305,0.97538
372.23171,0.97135
374.16037,0.96684
376.08903,0.97098
378.01769,0.97733
379.94636,0.97939
381.87502,0.97791
383.80368,0.97454
385.73234,0.97139
387.661,0.96875
389.58966,0.96635
391.51833,0.96603
393.44699,0.96823
395.37565,0.97038
397.30431,0.97066
399.23297,0.97032
401.16163,0.96991
403.0903,0.96867
405.01896,0.96611
406.94762,0.96111
408.87628,0.95646
410.80494,0.9587
412.7336,0.9679
414.66227,0.97512
416.59093,0.97284
418.51959,0.96692
420.44825,0.96731
422.37691,0.9704
424.30557,0.97143
426.23424,0.97503
428.1629,0.97978
430.09156,0.98092
432.02022,0.97825
433.94888,0.97064
435.87755,0.96191
437.80621,0.96034
439.73487,0.96684
441.66353,0.97575
443.59219,0.98114
445.52085,0.9808
447.44952,0.9795
449.37818,0.97876
451.30684,0.9719
453.2355,0.96163
455.16416,0.95948
457.09282,0.96605
459.02149,0.9721
460.95015,0.97204
462.87881,0.96995
464.80747,0.96905
466.73613,0.96629
468.66479,0.96307
470.59346,0.96485
472.52212,0.96951
474.45078,0.97061
476.37944,0.9694
478.3081,0.96846
480.23676,0.96502
482.16543,0.96067
484.09409,0.96056
486.02275,0.96343
487.95141,0.96263
489.88007,0.95669
491.80873,0.9533
493.7374,0.95602
495.66606,0.95751
497.59472,0.95269
499.52338,0.94985
501.45204,0.9564
503.3807,0.96487
505.30937,0.96574
507.23803,0.95981
509.16669,0.95479
511.09535,0.95572
513.02401,0.96126
514.95267,0.96878
516.88134,0.97498
518.81,0.97712
520.73866,0.97454
522.66732,0.96975
524.59598,0.96655
526.52465,0.96384
