,W,R
348,0.00017557806681203701,0.9999766704916477
349,0.0001793880270237258,0.9999764187304963
350,0.00018328066155276102,0.9999761642524563
351,0.00018725776439235185,0.999975907028208
352,0.00019132116846450417,0.999975647028116
353,0.00019547274646475603,0.9999753842222245
354,0.00019971441172524402,0.9999751185802547
355,0.00020404811909649896,0.9999748500716008
356,0.0002084758658483748,0.999974578665327
357,0.00021299969259052704,0.9999743043301635
358,0.00021762168421286685,0.9999740270345032
359,0.00022234397084642106,0.9999737467463977
360,0.00022716872884504191,0.999973463433554
361,0.00023209818178842196,0.9999731770633304
362,0.00023713460150687042,0.9999728876027333
363,0.00024228030912833013,0.9999725950184126
364,0.00024753767614811193,0.9999722992766586
365,0.0002529091255218418,0.999972000343398
366,0.0002583971327821266,0.9999716981841892
367,0.0002640042271794487,0.9999713927642194
368,0.00026973299284781743,0.9999710840483002
369,0.0002755860699957171,0.9999707720008629
370,0.00028156615612289523,0.9999704565859556
371,0.00028767600726355516,0.999970137767238
372,0.0002939184392565272,0.9999698155079777
373,0.00030029632904299985,0.9999694897710462
374,0.00030681261599241057,0.9999691605189138
375,0.0003134703032571111,0.9999688277136465
376,0.0003202724591564253,0.9999684913169001
377,0.00032722221859074013,0.9999681512899172
378,0.00033432278448628503,0.9999678075935221
379,0.00034157742927125935,0.9999674601881161
380,0.00034898949638399073,0.9999671090336734
381,0.00035656240181382293,0.999966754089736
382,0.0003642996356754376,0.9999663953154094
383,0.00037220476381733713,0.999966032669358
384,0.0003802814294652353,0.9999656661098
385,0.0003885333549011028,0.9999652955945024
386,0.0003969643431786528,0.9999649210807771
387,0.00040557827987604804,0.9999645425254744
388,0.00041437913488664096,0.99996415988498
389,0.0004233709642485752,0.9999637731152081
390,0.0004325579120140856,0.9999633821715976
391,0.0004419442121593602,0.9999629870091064
392,0.00045153419053585003,0.9999625875822062
393,0.00046133226686391704,0.9999621838448776
394,0.00047134295676974316,0.9999617757506044
395,0.00048157087386644385,0.9999613632523686
396,0.000492020731880336,0.9999609463026445
397,0.0005026973468233453,0.9999605248533939
398,0.0005136056392125583,0.99996009885606
399,0.0005247506363379327,0.9999596682615619
400,0.000536137474579216,0.9999592330202892
401,0.0005477714017731455,0.9999587930820961
402,0.0005596577796320099,0.9999583483962956
403,0.0005718020862146922,0.9999578989116538
404,0.0005842099184513396,0.9999574445763838
405,0.000596886994722811,0.9999569853381398
406,0.0006098391574960972,0.9999565211440115
407,0.0006230723760169349,0.9999560519405168
408,0.0006365927490608436,0.9999555776735976
409,0.0006504065077438566,0.9999550982886112
410,0.000664520018394253,0.9999546137303261
411,0.0006789397854865926,0.9999541239429145
412,0.0006936724546394296,0.9999536288699461
413,0.0007087248156780675,0.9999531284543814
414,0.0007241038057637745,0.999952622638566
415,0.0007398165125909081,0.9999521113642226
416,0.0007558701776534092,0.9999515945724454
417,0.0007722721995821767,0.999951072203693
418,0.0007890301375548699,0.9999505441977811
419,0.0008061517147796936,0.999950010493876
420,0.0008236448220547805,0.9999494710304879
421,0.0008415175214048174,0.999948925745463
422,0.0008597780497965772,0.999948374575977
423,0.000878434822935076,0.9999478174585273
424,0.000897496439142113,0.9999472543289267
425,0.0009169716833189646,0.9999466851222945
426,0.0009368695309950678,0.9999461097730503
427,0.0009571991524645648,0.999945528214906
428,0.0009779699170126023,0.999944940380858
429,0.0009991913972333378,0.9999443462031796
430,0.0010208733734416553,0.9999437456134135
431,0.0010430258381805971,0.9999431385423632
432,0.001065659000826622,0.9999425249200858
433,0.0010887832922947813,0.9999419046758837
434,0.0011124093698460023,0.999941277738296
435,0.0011365481219986883,0.9999406440350908
436,0.0011612106735468853,0.9999400034932567
437,0.0011864083906873652,0.9999393560389945
438,0.0012121528862579403,0.9999387015977086
439,0.001238456025089458,0.9999380400939981
440,0.00126532992947393,0.9999373714516487
441,0.0012927869847513187,0.9999366955936235
442,0.001320839845017542,0.9999360124420544
443,0.0013495014389563644,0.9999353219182329
444,0.0013787849757978126,0.999934623942601
445,0.0014087039514058973,0.9999339184347422
446,0.0014392721544984367,0.9999332053133724
447,0.0014705036730018328,0.9999324844963299
448,0.0015024129005437729,0.9999317559005668
449,0.0015350145430867886,0.9999310194421388
450,0.0015683236257057766,0.9999302750361956
451,0.0016023554995125847,0.9999295225969712
452,0.0016371258487308605,0.9999287620377745
453,0.001672650697924406,0.9999279932709784
454,0.0017089464193824155,0.9999272162080102
455,0.0017460297406649385,0.9999264307593416
456,0.0017839177523120897,0.9999256368344781
457,0.0018226279157205437,0.9999248343419485
458,0.001862178071190949,0.9999240231892945
459,0.0019025864461499477,0.9999232032830602
460,0.0019438716635506485,0.999922374528781
461,0.0019860527504553457,0.9999215368309728
462,0.002029149146804501,0.9999206900931215
463,0.0020731807143760006,0.9999198342176709
464,0.0021181677459388313,0.9999189691060125
465,0.0021641309746053645,0.9999180946584734
466,0.0022110915833866234,0.9999172107743051
467,0.00225907121495485,0.9999163173516719
468,0.002308091981617941,0.9999154142876392
469,0.00235817647551032,0.9999145014781614
470,0.0024093477790049257,0.9999135788180704
471,0.002461629475351182,0.9999126462010629
472,0.002515045659543759,0.9999117035196885
473,0.0025696209494272073,0.9999107506653372
474,0.002625380497041548,0.999909787528227
475,0.0026823500002140666,0.9999088139973914
476,0.002740555714402614,0.9999078299606659
477,0.002800024464795955,0.9999068353046758
478,0.0028607836586766367,0.9999058299148232
479,0.002922861298052151,0.9999048136752733
480,0.00298628599256018,0.999903786468941
481,0.0030510869726538908,0.9999027481774779
482,0.003117294103073306,0.9999016986812587
483,0.003184937896609067,0.9999006378593668
484,0.0032540495281647946,0.9998995655895807
485,0.0033246608491246323,0.9998984817483602
486,0.0033968044020325516,0.9998973862108318
487,0.0034705134355901956,0.9998962788507744
488,0.0035458219199801353,0.9998951595406047
489,0.0036227645625217047,0.9998940281513627
490,0.003701376823666487,0.9998928845526969
491,0.0037816949333409336,0.9998917286128487
492,0.003863755907643606,0.9998905601986378
493,0.003947597565904708,0.9998893791754468
494,0.004033258548115873,0.9998881854072055
495,0.004120778332738093,0.9998869787563752
496,0.004210197254896114,0.9998857590839331
497,0.004301556524967631,0.999884526249356
498,0.004394898247575862,0.9998832801106042
499,0.00449026544099422,0.9998820205241055
500,0.004587702056972136,0.9998807473447379
501,0.004687253000991007,0.9998794604258134
502,0.004788964152959736,0.9998781596190615
503,0.00489288238835934,0.999876844774611
504,0.004999055599846401,0.9998755157409737
505,0.005107532719325252,0.9998741723650264
506,0.0052183637404992125,0.9998728144919937
507,0.005331599741911084,0.9998714419654299
508,0.0054472929104836575,0.9998700546272008
509,0.005565496565571028,0.9998686523174659
510,0.005686265183531826,0.9998672348746597
511,0.005809654422835618,0.9998658021354732
512,0.005935721149714218,0.9998643539348349
513,0.006064523464369505,0.999862890105892
514,0.006196120727749996,0.9998614104799914
515,0.006330573588908458,0.9998599148866596
516,0.006467944012953107,0.9998584031535834
517,0.006608295309605457,0.9998568751065904
518,0.006751692162377733,0.9998553305696284
519,0.006898200658383493,0.9998537693647452
520,0.0070478883187951,0.9998521913120686
521,0.007200824129962132,0.999850596229785
522,0.007357078575204968,0.9998489839341188
523,0.007516723667298427,0.9998473542393113
524,0.007679832981660141,0.999845706957599
525,0.007846481690259173,0.9998440418991924
526,0.008016746596260421,0.9998423588722535
527,0.008190706169420803,0.9998406576828744
528,0.008368440582253441,0.9998389381350548
529,0.008550031746976767,0.9998372000306784
530,0.008735563353265214,0.9998354431694921
531,0.008925120906819198,0.9998336673490809
532,0.009118791768771995,0.9998318723648456
533,0.009316665195951786,0.9998300580099794
534,0.009518832382017242,0.9998282240754433
535,0.009725386499485941,0.9998263703499428
536,0.009936422742674585,0.999824496619903
537,0.01015203837157109,0.9998226026694443
538,0.010372332756658694,0.9998206882803574
539,0.010597407424712602,0.9998187532320781
540,0.010827366105590631,0.9998167973016621
541,0.01106231478003896,0.9998148202637591
542,0.011302361728535356,0.9998128218905871
543,0.011547617581192243,0.9998108019519056
544,0.01179819536874269,0.9998087602149899
545,0.012054210574632627,0.9998066964446036
546,0.012315781188243691,0.9998046104029717
